"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer","1.请输入实验编号","2.请选择实验轮次","3.系统感知可用性:我认为我会愿意经常使用本系统","3.系统感知可用性:我发现这个系统没必要这么复杂","3.系统感知可用性:我认为该系统容易使用","3.系统感知可用性:我认为我会需要技术人员的支持才能使用该系统","3.系统感知可用性:我发现这个系统中的不同功能被较好地整合一起","3.系统感知可用性:我认为这个系统太不一致了","3.系统感知可用性:我认为大部分人会很快学会使用这个系统","3.系统感知可用性:我发现这个系统使用起来非常笨拙","3.系统感知可用性:对于使用这个系统，我感到很自信","3.系统感知可用性:在我可以使用该系统之前，我需要学习很多东西","4.有效性:它使我的工作更有效","4.有效性:它使我的工作更有产出","4.有效性:它是有用的","4.有效性:它给我更多的控制以管理生活中的各项活动","4.有效性:它使我能够更加容易地完成要做的事情","4.有效性:使用时，它节省了我的时间","4.有效性:它满足我的需求","4.有效性:它可以执行我期望它做的所有事情","5.易用性:它容易使用","5.易用性:它操作简单","5.易用性:它是用户友好的","5.易用性:对于我需要完成的事情，它需要最可能少的步骤","5.易用性:它是灵活的","5.易用性:使用起来不费力气","5.易用性:没有书面说明，我可以使用它","5.易用性:在使用过程中，我没有发现任何不一致","5.易用性:偶尔使用和常规使用的用户都会喜欢它","5.易用性:出错时，我可以迅速且容易地恢复过来","5.易用性:每次我都可以成功地使用它","6.易学性:我可以迅速地学会使用它","6.易学性:我容易记住如何使用它","6.易学性:学起来容易","6.易学性:很快我就可以熟练使用它了","7.满意度:我对它满意","7.满意度:我会把它推荐给朋友","7.满意度:使用起来有趣","7.满意度:它以我所希望的方式工作","7.满意度:它很好","7.满意度:我感到我需要拥有它","7.满意度:使用起来令人愉快","8.场景比较:系统的整体可用性","8.场景比较:系统对于任务的有效性","8.场景比较:系统容易使用","8.场景比较:系统的使用方法容易学习","8.场景比较:对系统满意",
"32","17-Sep-2023 14:28:02","17-Sep-2023 14:29:10","68","中国","浙江省","杭州市","","","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","","	201","B.第二轮（M-CAT）","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","B.日常操作下较好","B.日常操作下较好","B.日常操作下较好","C.两者相同","C.两者相同",
"31","17-Sep-2023 14:07:45","17-Sep-2023 14:12:43","298","中国","浙江省","杭州市","","","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","","	201","A.第一轮（WIMP）","2","2","3","4","2","2","3","3","3","3","2","3","3","4","3","3","7","6","3","3","4","1","4","2","5","7","4","3","3","5","5","5","6","2","4","3","3","3","3","3","B.日常操作下较好","B.日常操作下较好","B.日常操作下较好","C.两者相同","C.两者相同",
"30","15-Mar-2023 17:51:16","15-Mar-2023 17:56:05","289","中国","浙江省","杭州市","","","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.28(0x18001c2e) NetType/4G Language/zh_CN","","	13","B.第二轮（M-CAT）","5","2","5","1","5","1","5","1","5","1","6","6","6","6","4","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","7","7","6","7","7","7","7","7","C.两者相同","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"29","15-Mar-2023 17:38:20","15-Mar-2023 17:41:31","191","中国","浙江省","杭州市","","","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.28(0x18001c2e) NetType/4G Language/zh_CN","","	13","A.第一轮（WIMP）","3","3","4","2","3","4","3","2","2","5","5","5","6","3","5","5","3","5","4","3","4","3","5","3","3","3","6","4","5","3","3","3","5","4","5","2","4","4","5","4","A.日常操作下更好","B.日常操作下较好","B.日常操作下较好","A.日常操作下更好","B.日常操作下较好",
"28","15-Mar-2023 17:14:22","15-Mar-2023 17:15:59","97","中国","浙江省","杭州市","","39.174.146.171","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/WIFI Language/zh_CN","","	15","B.第二轮（M-CAT）","5","2","5","2","5","2","5","2","5","2","7","7","7","7","7","7","7","7","7","7","7","7","7","7","5","6","7","7","7","7","7","7","7","6","7","7","7","7","7","7","C.两者相同","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"27","15-Mar-2023 16:59:52","15-Mar-2023 17:02:41","169","中国","浙江省","杭州市","","39.174.146.171","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/WIFI Language/zh_CN","","	15","A.第一轮（WIMP）","5","3","4","3","3","2","3","4","4","3","5","5","7","5","6","4","6","6","5","4","6","4","5","4","4","6","5","5","6","5","5","5","5","5","4","5","5","5","5","5","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好",
"26","14-Mar-2023 16:49:23","14-Mar-2023 16:51:31","128","中国","浙江省","杭州市","","39.174.145.14","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/WIFI Language/zh_CN","","	16","B.第二轮（M-CAT）","4","5","5","2","5","1","5","2","5","1","7","5","5","7","6","6","6","5","6","6","6","6","6","6","6","6","6","7","6","7","7","7","7","7","7","7","7","7","7","7","A.日常操作下更好","A.日常操作下更好","A.日常操作下更好","A.日常操作下更好","A.日常操作下更好",
"25","14-Mar-2023 16:31:55","14-Mar-2023 16:34:49","174","中国","浙江省","杭州市","","39.174.145.14","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/WIFI Language/zh_CN","","	16","A.第一轮（WIMP）","4","2","4","1","4","2","5","2","4","2","7","6","6","6","6","6","6","4","6","6","6","5","6","6","7","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","E.图形设计下更好","D.图形设计下较好","D.图形设计下较好","D.图形设计下较好","D.图形设计下较好",
"24","14-Mar-2023 12:03:12","14-Mar-2023 12:04:23","71","中国","浙江省","杭州市","","223.104.165.167","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	14","B.第二轮（M-CAT）","4","2","4","2","4","2","5","1","5","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","C.两者相同","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"23","14-Mar-2023 12:00:39","14-Mar-2023 12:02:52","133","中国","浙江省","杭州市","","223.104.165.167","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	14","A.第一轮（WIMP）","4","4","3","4","2","4","2","4","2","4","5","5","5","5","5","3","4","5","3","3","3","3","3","3","2","3","4","3","3","3","3","3","3","4","3","2","2","2","5","2","C.两者相同","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"22","14-Mar-2023 11:33:46","14-Mar-2023 11:35:34","108","中国","浙江省","杭州市","","223.104.165.213","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	12","B.第二轮（M-CAT）","5","1","5","2","4","1","5","1","5","1","7","7","7","6","6","7","6","6","7","6","6","7","6","6","6","6","7","6","7","7","6","6","7","7","6","6","7","6","7","7","C.两者相同","D.图形设计下较好","B.日常操作下较好","C.两者相同","E.图形设计下更好",
"21","14-Mar-2023 11:22:37","14-Mar-2023 11:25:02","145","中国","浙江省","杭州市","","223.104.165.213","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	12","A.第一轮（WIMP）","5","2","5","1","5","1","5","1","5","1","7","6","7","5","6","6","6","6","6","6","7","6","7","6","6","6","6","6","7","6","6","6","6","6","6","6","6","6","5","7","D.图形设计下较好","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"20","13-Mar-2023 18:07:07","13-Mar-2023 18:09:52","165","中国","浙江省","杭州市","","223.104.165.161","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	3","B.第二轮（M-CAT）","5","3","4","2","5","2","4","2","4","2","7","7","6","4","5","7","5","4","7","7","6","6","6","7","5","6","6","4","7","7","7","7","7","6","7","7","5","6","6","6","C.两者相同","C.两者相同","E.图形设计下更好","C.两者相同","E.图形设计下更好",
"19","13-Mar-2023 17:50:05","13-Mar-2023 17:54:55","290","中国","浙江省","杭州市","","223.104.165.161","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	3","A.第一轮（WIMP）","3","5","3","2","2","3","3","3","3","4","4","4","5","3","3","4","4","4","4","4","5","4","5","4","4","4","3","5","4","4","5","4","5","4","4","2","3","3","3","4","C.两者相同","D.图形设计下较好","C.两者相同","D.图形设计下较好","D.图形设计下较好",
"18","13-Mar-2023 17:20:11","13-Mar-2023 17:22:31","140","中国","浙江省","杭州市","","117.136.111.9","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	2","B.第二轮（M-CAT）","5","2","5","2","5","2","5","1","4","2","6","6","6","5","7","6","7","6","6","6","6","6","7","6","6","7","6","7","7","7","7","7","7","7","7","7","7","7","7","7","C.两者相同","C.两者相同","E.图形设计下更好","C.两者相同","C.两者相同",
"17","13-Mar-2023 17:08:36","13-Mar-2023 17:11:35","179","中国","浙江省","杭州市","","117.136.111.9","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	2","A.第一轮（WIMP）","4","3","3","4","4","3","4","4","3","3","5","5","5","5","5","4","5","5","5","4","4","3","4","4","3","3","3","4","2","5","4","4","4","4","3","2","4","4","4","3","B.日常操作下较好","B.日常操作下较好","A.日常操作下更好","B.日常操作下较好","A.日常操作下更好",
"16","13-Mar-2023 16:40:06","13-Mar-2023 16:43:27","201","中国","浙江省","杭州市","","202.107.195.203","Mozilla/5.0 (Linux; Android 12; LE2110 Build/RKQ1.211119.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5015 MMWEBSDK/20230202 MMWEBID/3422 MicroMessenger/8.0.33.2320(0x2800213D) WeChat/arm","","	4","B.第二轮（M-CAT）","4","2","4","2","5","2","4","2","4","1","6","5","5","5","6","7","5","6","7","7","5","6","6","6","6","6","6","4","6","6","7","7","7","6","6","6","6","7","7","7","E.图形设计下更好","C.两者相同","C.两者相同","C.两者相同","E.图形设计下更好",
"15","13-Mar-2023 16:22:07","13-Mar-2023 16:25:37","210","中国","浙江省","杭州市","","124.160.104.132","Mozilla/5.0 (Linux; Android 12; LE2110 Build/RKQ1.211119.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5015 MMWEBSDK/20230202 MMWEBID/3422 MicroMessenger/8.0.33.2320(0x2800213D) WeChat/arm","","	4","A.第一轮（WIMP）","3","4","3","2","2","2","4","4","2","5","4","4","3","3","3","3","4","3","3","3","2","2","3","3","2","3","1","1","2","4","3","3","3","3","3","2","2","3","2","3","C.两者相同","E.图形设计下更好","C.两者相同","C.两者相同","B.日常操作下较好",
"14","13-Mar-2023 14:15:21","13-Mar-2023 14:16:30","69","中国","浙江省","杭州市","","39.174.145.58","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/WIFI Language/zh_CN","","	10","B.第二轮（M-CAT）","5","1","5","1","5","1","5","1","5","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","C.两者相同","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"13","13-Mar-2023 14:02:10","13-Mar-2023 14:04:19","129","中国","浙江省","杭州市","","39.174.145.58","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/WIFI Language/zh_CN","","	10","A.第一轮（WIMP）","2","4","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","3","4","3","4","3","4","3","4","4","3","4","3","4","4","4","4","4","4","4","4","D.图形设计下较好","D.图形设计下较好","D.图形设计下较好","D.图形设计下较好","D.图形设计下较好",
"12","13-Mar-2023 13:40:02","13-Mar-2023 13:47:59","477","中国","浙江省","台州市","","36.17.237.47","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172f) NetType/4G Language/zh_CN","","	7","A.第一轮（WIMP）","3","4","4","2","4","3","3","5","4","4","2","3","3","6","3","3","2","1","5","2","4","1","6","2","4","3","4","6","6","5","2","5","2","2","2","2","2","4","4","4","B.日常操作下较好","B.日常操作下较好","C.两者相同","D.图形设计下较好","B.日常操作下较好",
"11","13-Mar-2023 13:30:57","13-Mar-2023 13:39:07","490","中国","浙江省","台州市","","36.17.237.47","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172f) NetType/WIFI Language/zh_CN","","	7","B.第二轮（M-CAT）","5","1","5","4","5","1","5","1","5","3","7","7","7","7","7","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","E.图形设计下更好","C.两者相同","E.图形设计下更好","C.两者相同","C.两者相同",
"10","13-Mar-2023 11:58:25","13-Mar-2023 12:00:23","118","中国","浙江省","杭州市","","117.136.111.229","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","","	5","B.第二轮（M-CAT）","5","4","5","3","4","4","5","3","4","2","6","7","7","7","7","7","7","6","5","5","6","7","7","6","5","6","7","6","5","6","6","7","7","7","7","7","7","7","7","6","C.两者相同","A.日常操作下更好","C.两者相同","C.两者相同","C.两者相同",
"9","13-Mar-2023 11:38:11","13-Mar-2023 11:41:54","223","中国","浙江省","杭州市","","117.136.111.229","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","","	5","A.第一轮（WIMP）","3","4","2","2","3","3","4","5","2","4","3","4","3","4","5","6","3","5","3","4","4","3","5","3","2","5","4","3","2","4","3","4","3","5","2","4","3","4","3","5","D.图形设计下较好","C.两者相同","E.图形设计下更好","C.两者相同","D.图形设计下较好",
"8","13-Mar-2023 11:14:46","13-Mar-2023 11:16:42","116","中国","浙江省","杭州市","","117.136.111.206","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	11","B.第二轮（M-CAT）","5","1","5","1","4","1","5","2","4","1","7","6","7","6","6","7","5","5","7","7","7","7","7","6","7","6","7","7","7","7","7","7","7","7","7","6","6","7","6","7","C.两者相同","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"7","13-Mar-2023 11:04:53","13-Mar-2023 11:07:01","128","中国","浙江省","杭州市","","117.136.111.206","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	11","A.第一轮（WIMP）","4","2","4","1","3","1","3","3","4","2","5","5","6","6","6","6","5","4","5","5","4","5","4","5","4","6","6","5","5","5","5","5","6","6","6","5","6","5","5","5","C.两者相同","D.图形设计下较好","B.日常操作下较好","B.日常操作下较好","C.两者相同",
"6","13-Mar-2023 10:08:16","13-Mar-2023 10:13:12","296","中国","浙江省","杭州市","","223.104.165.164","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	6","B.第二轮（M-CAT）","5","3","5","1","5","1","5","1","5","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","7","7","7","7","D.图形设计下较好","D.图形设计下较好","C.两者相同","C.两者相同","C.两者相同",
"5","13-Mar-2023 09:51:50","13-Mar-2023 09:55:05","195","中国","浙江省","杭州市","","223.104.165.164","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.33(0x18002125) NetType/4G Language/zh_CN","","	6","A.第一轮（WIMP）","3","4","2","5","2","4","2","4","1","5","3","3","4","3","2","2","2","2","3","3","4","2","3","2","2","2","3","5","4","3","2","2","2","4","4","3","2","5","3","2","C.两者相同","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
