subject_id,task_class,task_index,mouse_distance,mouse_click,keyboard_press,duration,prompt,prompt_count
12,1,5,3164,2,65,22.495,将图片的图层名改为对应的尺寸,9
14,0,0,548,0,79,41.225,将3月8日创建的图片复制到新的“旅行照片”文件夹,14
14,0,1,716,1,167,80.461,将“分享.jpg”用电子邮件发送给fakename@fakemail.com，邮件标题为共享照片,14
14,0,2,0,0,48,20.177,将山峰的照片用于桌面壁纸,6
14,0,3,0,0,94,42.697,分屏显示safari和提醒事项，并开启“工作”专注模式,11
14,0,4,0,0,45,21.319,截全屏并隔空投送给附近手机,8
14,0,5,0,0,51,25.519,将日历中下一个日程的地理位置复制到备忘录,10
14,1,0,0,0,87,43.553,制作一份拥有标题、账户输入框、密码输入框和登录按钮的登录界面,14
14,1,1,0,0,22,13.182,填充一张海洋的图片,5
14,1,2,1087,0,78,40.659,制作一个4*4的圆形矩阵，圆形直径为16px，间距为8px,15
14,1,3,0,0,29,16.946,所有字体换成Roboto,4
14,1,4,0,0,58,26.855,将姓名图层替换成中文名字,7
14,1,5,1453,1,55,30.858,用照片图层尺寸命名照片,6
16,0,0,2979,8,201,96.663,把photo文件夹中3月8号创建的图片另存到一个新的命名为“旅行照片”的文件夹内,23
16,0,1,896,0,214,90.866,将“photo”文件夹中命名为“分享”的照片用电子邮件发送给fakename@fakename.com并设置其标题为“共享照片”,22
16,0,2,0,0,90,27.776,用Safari搜索一张山峰的照片并把这张照片设置为桌面壁纸,14
16,0,3,1726,1,126,39.585,把Safari和提醒事项同时打开并放在屏幕的左右两侧，之后打开“工作”专注模式,18
16,0,4,1604,1,113,42.027,截屏全部屏幕并把这张照片用airdrop发给最近的手机,13
16,0,5,0,0,156,47.96,打开日历，找到最近日程的地理位置，并把地理位置的描述文字放在备忘录中,16
16,1,0,2469,1,197,73.009,根据现有参考在figma的page1旁边重新设计一个包含标题、账户输入框、密码输入和登录按钮的界面，尺寸和参考的一样,27
16,1,1,1580,2,163,46.823,在figma的page2中创建一个矩形，并在矩形中填充一个网页上下载的任意“海洋”相关的图片,23
16,1,2,1384,1,128,46.976,此页面中输入4行4列，一共16个的直径16，相互间距为8的圆形，颜色随机,22
16,1,3,2088,2,62,20.944,把此页面中的所有文字的字体换为Roboto字体,12
16,1,4,1303,1,62,17.305,把本页中“姓名”随机换为其他中文名字,10
16,1,5,2668,9,131,57.694,把本页面图片图层的名字改为此图的尺寸，呈现为长X宽,15
15,0,0,1545,1,94,41.682,将3月8日创建的图片新建为文件夹“旅行照片”,13
15,0,1,1534,1,165,85.94,将“分享.jpg”以“共享照片”为标题通过电子邮件发送给fakename@fakemail.com,14
15,0,2,4386,1,72,40.719,选一张山峰的图片设置为桌面壁纸,8
15,0,3,0,0,64,40.79,将safari和提醒事项分屏后开启专注模式,10
15,0,4,1085,0,56,31.702,截屏隔空投送给最近的手机,7
15,0,5,2031,0,84,31.908,将日历中下一个日程的地理位置保存到备忘录,11
15,1,0,2712,2,26,25.011,制作一个登录界面,4
15,1,1,1952,0,16,22.579,填充海洋图片,3
15,1,2,2237,5,99,63.875,建立4x4个直径为16px间隔为8px的圆形矩阵,12
15,1,3,0,0,57,18.862,将该页面所有文字换成roboto字体,8
15,1,4,0,0,51,19.033,将姓名图层替换成中文姓名,7
15,1,5,2057,1,64,32.992,将所有照片的图层名改为图层尺寸,9
13,0,0,2344,2,156,65.539,将桌面文件夹里面的3月8号创建的图片复制到一个新的文件夹，并且命名为旅行照片,22
13,0,1,885,0,170,55.681,将文件夹中名字叫分享的照片，用电子邮件app发送给fakename@fakemail.com，标题写为共享照片,19
13,0,2,0,0,98,26.492,找一张主题为山峰的壁纸，保存后更换为桌面壁纸,12
13,0,3,0,0,104,34.068,打开safari和提醒事项，然后分屏显示，并且开启工作专注模式,13
13,0,4,653,0,49,24.063,截全屏然后airdrop到最近的手机,8
13,0,5,0,0,95,27.168,查看日历中下一个日程的地理位置，并复制粘贴到备忘录,12
13,1,0,0,0,119,40.345,在page1中，根据参考制作一份一样的登录界面,11
13,1,1,0,0,53,18.611,在page2中用海洋的图片填充矩形,8
13,1,2,0,0,32,18.68,在page3中制作一个4,6
13,1,3,0,0,56,18.704,将page4里面所有的文字换成roboto字体,9
13,1,4,1472,1,74,34.015,把姓名图层替换成随机中文名字,8
13,1,5,2797,2,70,21.546,将所有相册图片的图层名改成图层的尺寸,11
